strain	clade
a/chicken/badung/bbvd_219/2007	2.1.3.2
a/chicken/magelang/bbvw_680_772/2007	2.1.3.2
a/chicken/kulonprogo/bbvw_677_60x/2007	2.1.3.2
a/chicken/magelang/bbvw_662_762a/2007	2.1.3.2
a/duck/magelang/bbvw_680_41041/2007	2.1.3.2
a/chicken/kulonprogo/bbvw_922_511/2007	2.1.3.2
a/duck/sleman/bbvw_598_32237/2007	2.1.3.2
a/chicken/bantul/bbvw_482_22234/2007	2.1.3.2
a/chicken/magelang/bbvw_662_763/2007	2.1.3.2
a/chicken/gianyar/bbvd_458/2007	2.1.3.2
a/duck/magelang/bbvw_24_44380/2008	2.1.3.2
a/chicken/bantul/bbvw_678_441/2007	2.1.3.2
a/chicken/magelang/bbvw_680_771/2007	2.1.3.2
a/chicken/magelang/bbvw_680_773/2007	2.1.3.2
a/indonesia/tll012/2006	2.1.3.2
a/duck/sleman/bbvw_679_31024/2007	2.1.3.2
a/indonesia/tll010/2006	2.1.3.2
a/ferret/indonesia/5_f5/2005	2.1.3.2
a/chicken/kulonprogo/bbvw_453_11053/2007	2.1.3.2
a/ferret/indonesia/5_f7/2005	2.1.3.2
a/indonesia/cdc938/2006	2.1.3.2
a/chicken/bantul/bbvw_482_22235/2007	2.1.3.2
a/chicken/kulonprogo/bbvw_677_602/2007	2.1.3.2
a/chicken/sleman/bbvw_626_234/2007	2.1.3.2
a/indonesia/cdc1046t/2007	2.1.3.2
a/indonesia/cdc759/2006	2.1.3.2
a/chicken/westjava/sbg_29/2007	2.1.3.2
a/chicken/garut/bbvw_223/2007	2.1.3.2
a/chicken/kulonprogo/bbvw_677_603/2007	2.1.3.2
a/chicken/kulonprogo/bbvw_453_11054/2007	2.1.3.2
a/peacefuldove/badung/bbvd_493/2007	2.1.3.2
a/chicken/klungkung/bbvd_484/2007	2.1.3.2
a/peacefuldove/denpasar/bbvd_480/2007	2.1.3.2
a/duck/sleman/bbvw_29_32185/2008	2.1.3.2
a/chicken/gianyar/bbvd_429/2007	2.1.3.2
a/duck/sleman/bbvw_29_32189/2008	2.1.3.2
a/indonesia/cdc836t/2006	2.1.3.2
a/duck/magelang/bbvw_680_41044/2007	2.1.3.2
a/duck/kulonprogo/bbvw_618_11001/2007	2.1.3.2
